,index,season,episode,episode_num,rank,missc,contestant,outcome,eliminated,participant,minichalw,finale,penultimate
420,421,S04,6,S04E6,4.0,1.0,Latrice Royale,,0.0,1,0.0,0,0
422,423,S04,6,S04E6,6.0,0.0,Dida Ritz,,0.0,1,0.0,0,0
423,424,S04,6,S04E6,7.0,0.0,Willam,,0.0,1,1.0,0,0
424,425,S04,6,S04E6,8.0,0.0,Jiggly Caliente,,0.0,1,0.0,0,0
425,426,S04,6,S04E6,9.0,0.0,Milan,,1.0,1,0.0,0,0
430,431,S04,7,S04E7,1.0,0.0,Sharon Needles,,0.0,1,0.0,0,0
431,432,S04,7,S04E7,2.0,0.0,Chad Michaels,,0.0,1,0.0,0,0
432,433,S04,7,S04E7,2.0,0.0,Phi Phi O'Hara,,0.0,1,0.0,0,0
433,434,S04,7,S04E7,4.0,1.0,Latrice Royale,,0.0,1,1.0,0,0
435,436,S04,7,S04E7,6.0,0.0,Dida Ritz,,0.0,1,0.0,0,0
436,437,S04,7,S04E7,7.0,0.0,Willam,,0.0,1,0.0,0,0
437,438,S04,7,S04E7,8.0,0.0,Jiggly Caliente,,1.0,1,0.0,0,0
443,444,S04,8,S04E8,1.0,0.0,Sharon Needles,,0.0,1,0.0,0,0
444,445,S04,8,S04E8,2.0,0.0,Chad Michaels,,0.0,1,0.0,0,0
445,446,S04,8,S04E8,2.0,0.0,Phi Phi O'Hara,,0.0,1,0.0,0,0
446,447,S04,8,S04E8,4.0,1.0,Latrice Royale,,0.0,1,0.0,0,0
448,449,S04,8,S04E8,6.0,0.0,Dida Ritz,,0.0,1,0.0,0,0
449,450,S04,8,S04E8,7.0,0.0,Willam,,1.0,1,0.0,0,0
456,457,S04,9,S04E9,1.0,0.0,Sharon Needles,,0.0,1,0.0,0,0
457,458,S04,9,S04E9,2.0,0.0,Chad Michaels,,0.0,1,0.0,0,0
458,459,S04,9,S04E9,2.0,0.0,Phi Phi O'Hara,,0.0,1,1.0,0,0
459,460,S04,9,S04E9,4.0,1.0,Latrice Royale,,0.0,1,0.0,0,0
461,462,S04,9,S04E9,6.0,0.0,Dida Ritz,,1.0,1,0.0,0,0
469,470,S04,10,S04E10,1.0,0.0,Sharon Needles,,0.0,1,0.0,0,0
470,471,S04,10,S04E10,2.0,0.0,Chad Michaels,,0.0,1,0.0,0,0
471,472,S04,10,S04E10,2.0,0.0,Phi Phi O'Hara,,0.0,1,0.0,0,0
472,473,S04,10,S04E10,4.0,1.0,Latrice Royale,,0.0,1,0.0,0,0
473,474,S04,10,S04E10,5.0,0.0,Kenya Michaels,,0.0,1,1.0,0,0
482,483,S04,11,S04E11,1.0,0.0,Sharon Needles,,0.0,1,0.0,0,0
483,484,S04,11,S04E11,2.0,0.0,Chad Michaels,,0.0,1,1.0,0,0
484,485,S04,11,S04E11,2.0,0.0,Phi Phi O'Hara,,0.0,1,0.0,0,0
